Word,Count
trail,265291
day,244065
hike,225291
mile,200601
get,151596
shelter,134654
got,115000
hiker,111078
go,107508
back,105798
time,105022
today,101856
one,100388
start,95984
u,92895
rain,87015
night,81902
mountain,81084
good,80052
like,73760
walk,73729
would,71961
climb,71185
last,67135
water,65360
pack,64074
see,63447
way,61633
tent,60613
first,59998
could,59919
stop,58435
morn,58277
around,58245
made,57919
take,55060
rock,54618
two,54250
foot,53309
also,53257
great,52608
head,52031
look,51619
went,51495
nice,51467
took,50902
littl,50410
next,50352
make,50332
stay,50148
realli,49060
long,47723
much,47041
even,47017
anoth,46861
camp,46661
lot,46433
still,45433
town,45426
well,44259
food,43558
tomorrow,43439
left,42003
sleep,41861
view,39886
gap,39598
want,39592
hostel,39120
plan,38899
hour,37778
road,37750
come,37745
peopl,37352
need,37040
came,37032
decid,36162
end,36044
think,35649
said,35579
new,35443
tri,35417
right,34957
met,34891
coupl,34873
know,34620
top,34483
thing,33876
breakfast,33685
pas,33601
set,33042
call,32975
big,32861
feel,32738
place,32651
weather,32523
cold,32233
section,32191
pretti,32059
hope,31980
sinc,31956
lunch,31771
cross,31722
earli,31690
arriv,31361
year,31267
along,30756
dinner,30598
saw,30367
bear,30295
mani,30109
use,29518
bag,28982
final,28515
park,28483
rest,28406
enjoy,28389
pick,28074
work,27687
eat,27289
home,27162
hot,27143
bit,26833
dri,26592
put,26365
beauti,25882
talk,25811
turn,25799
thank,25569
leav,25567
tree,25363
later,25321
found,25212
side,25188
area,24674
seem,24620
point,24375
sever,24231
name,24090
move,23673
week,23618
wait,23581
thought,23449
drop,23439
continu,23355
away,23293
say,22850
short,22806
wet,22750
shower,22555
wind,22471
minut,22453
keep,22066
thru,21844
river,21751
tonight,21649
reach,21592
far,21578
help,21569
hard,21560
three,21471
sure,21419
enough,21366
felt,21159
finish,21149
guy,21130
find,21074
break,20983
ask,20892
warm,20599
room,20596
friend,20591
spring,20557
abl,20447
ridg,20432
though,20174
steep,20159
old,20112
better,20070
ride,19934
run,19910
half,19867
wood,19820
part,19678
told,19607
full,19568
spot,19491
north,19454
shuttl,19426
easi,19277
bad,19202
fall,19131
close,18911
ate,18881
small,18807
gear,18770
magic,18538
hit,18486
state,18291
never,18038
quit,17924
across,17908
yesterday,17796
resuppli,17789
follow,17652
pictur,17605
love,17430
near,17312
cool,17298
actual,17161
bed,17143
meet,17081
mt,17013
everi,16983
summit,16932
zero,16721
campsit,16714
late,16714
done,16538
almost,16500
sun,16462
main,16035
let,15937
soon,15876
afternoon,15869
white,15830
carri,15762
complet,15526
group,15522
car,15512
may,15399
step,15388
cloth,15362
hill,15361
past,15250
show,15174
store,15161
alreadi,15159
ice,15145
check,15059
open,14981
happi,14955
sign,14916
gave,14909
best,14859
seen,14776
give,14593
high,14587
stream,14534
readi,14487
rocki,14445
e,14435
trip,14434
creek,14340
famili,14316
everyth,14315
everyon,14308
fire,14257
watch,14059
leg,13925
wonder,13896
life,13877
someth,13858
without,13857
south,13822
woke,13749
post,13609
hous,13545
larg,13529
cover,13512
chang,13403
ahead,13307
dog,13197
probabl,13175
journal,13139
miss,13052
alway,13049
man,13020
knew,12997
slow,12992
togeth,12854
light,12807
phone,12805
least,12770
sit,12728
spent,12716
pond,12567
knee,12549
shoe,12499
fun,12470
quickli,12420
heard,12390
second,12383
kind,12370
includ,12369
line,12171
site,12134
behind,12126
clear,12108
yet,12056
live,12013
hand,11970
offer,11955
amaz,11939
ran,11852
lake,11827
read,11771
drive,11757
snow,11754
blue,11705
hotel,11672
began,11630
kept,11511
differ,11483
coffe,11468
push,11434
dark,11359
four,11211
tire,11191
real,11128
mayb,11105
front,11084
appalachian,11042
laundri,10953
bald,10880
tough,10844
cloud,10820
clean,10812
cook,10763
hut,10748
forest,10721
tell,10671
le,10613
photo,10608
month,10553
catch,10528
beer,10523
local,10466
flat,10320
usual,10319
elev,10291
forward,10260
expect,10250
caught,10232
katahdin,10221
return,10219
weight,10184
snack,10184
sat,10173
pull,10166
share,10122
might,10121
happen,10089
peak,10078
cours,10050
realiz,10006
drink,10006
challeng,9978
interest,9977
descent,9971
hang,9922
fill,9920
storm,9919
terrain,9902
excit,9890
book,9858
someon,9832
young,9827
sound,9801
bridg,9668
difficult,9637
hear,9633
pizza,9614
ago,9606
slept,9600
other,9585
ca,9583
backpack,9581
face,9546
visit,9542
ever,9523
howev,9456
pole,9425
outsid,9406
wife,9394
glad,9365
ground,9363
roll,9350
restaur,9345
stuff,9329
distanc,9250
pm,9231
care,9224
noth,9189
experi,9165
order,9156
drove,9099
due,9080
servic,9047
free,9035
pain,9030
smoki,9029
guess,9026
low,9020
mostli,8986
stand,8926
spend,8884
mean,8873
toward,8870
begin,8861
person,8860
virginia,8855
inn,8844
box,8830
downhil,8803
blaze,8770
join,8761
soak,8679
bodi,8658
cream,8646
must,8640
sky,8636
chat,8622
mark,8597
extra,8579
huge,8537
awesom,8528
figur,8527
bar,8494
uphil,8468
total,8450
learn,8402
insid,8388
cabin,8382
whole,8364
heavi,8256
stori,8237
suppos,8210
meal,8201
degre,8200
surpris,8182
boot,8159
instead,8150
quick,8144
center,8076
lost,7922
fast,7900
comfort,7858
pace,7829
problem,7809
field,7803
motel,7740
reason,7733
l,7733
five,7635
stretch,7624
rememb,7616
gener,7608
forecast,7600
possibl,7582
boulder,7573
knob,7544
believ,7542
journey,7521
ferri,7497
provid,7453
eventu,7451
oh,7430
sock,7426
relax,7422
play,7370
notic,7361
notch,7335
ladi,7332
valley,7314
number,7304
sunni,7300
sometim,7289
perfect,7286
definit,7253
path,7216
mud,7185
woman,7183
anyth,7146
el,7142
damascu,7136
georgia,7106
hurt,7050
mind,7026
air,7022
heat,7019
train,7008
tower,6974
manag,6962
temperatur,6955
bought,6912
brought,6900
slack,6894
weekend,6894
black,6884
fli,6873
